text,category
"Faturam bu ay iki katı geldi, açıklama istiyorum",FATURA
"Kasım faturamda tanımadığım 89 TL'lik ek ücret var, bu nedir?",FATURA
"Fatura tutarım her ay farklı geliyor, sabit tarifedeyim halbuki",FATURA
"Yurtdışı kullanım ücreti yansıtılmış ama ben yurtdışına çıkmadım",FATURA
"E-faturam mail adresime gelmiyor, üç aydır göremiyorum",FATURA
"Otomatik ödeme talimatım olduğu halde faturam ödenmemiş görünüyor, gecikme faizi çıkmış",FATURA
"Faturamda mobil ödeme diye bir kalem var, ben hiçbir şey satın almadım",FATURA
"İptal ettiğim servisin ücreti hala faturama yansıyor",FATURA
"Fatura son ödeme tarihim geçmiş, yapılandırma yapabilir miyim?",FATURA
"Bu ayki faturamı görüntüleyemiyorum, uygulama hata veriyor",FATURA
"Kullanmadığım halde melodi servisi ücreti kesilmiş, iade istiyorum",FATURA
"Faturama itiraz etmek istiyorum, aşırı yüksek geldi",FATURA
"Aylık 120 TL anlaşmıştık ama fatura 187 TL gelmiş, aradaki fark ne?",FATURA
"Geçen ay ödediğim fatura hala ödenmedi görünüyor, hattım kısıtlanmış",FATURA
"Fatura kesim tarihimi değiştirmek istiyorum, maaş günüme denk gelsin",FATURA
"İnternet aşım ücreti 250 TL yansımış, bilgilendirme SMS'i bile gelmedi",FATURA
"Kağıt fatura ücreti alınıyormuş benden, e-faturaya geçmek istiyorum",FATURA
"Babamın hattının faturası benim karta çekilmiş, bu talimatı ben vermedim",FATURA
"Taahhüt indirimim bu ay uygulanmamış, fatura tam fiyattan gelmiş",FATURA
"Fatura ödememi yaptım ama sistemde görünmüyor, dekont elimde",FATURA
"5 TL'lik SMS paketi ücreti her ay kesiliyor, ben böyle bir paket almadım",FATURA
"Ay ortasında tarife değiştirdim, iki tarife ücreti birden yansımış",FATURA
"Fatura üst limitim vardı, nasıl aşılmış olabilir?",FATURA
"Vergi ve kesintiler faturamın yarısını oluşturuyor, detaylı döküm istiyorum",FATURA
"Ek hat aldığımda ilk ay ücretsiz denmişti ama ücret alınmış",FATURA
"Ödemediğim iddia edilen 2023 yılından kalma bir borç çıkarılmış",FATURA
